Format,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
VGA,132.4752,105.83040000000007,85.272,66.57119999999999,53.9136,42.94839999999997,35.602000000000004,27.876799999999996,21.982400000000005,17.9208,14.044800000000004,11.035200000000007,9.017999999999999,7.0112000000000005,6.009600000000004
XGA,173.30720000000005,136.3992000000001,111.188,87.68319999999999,71.14200000000004,56.291199999999996,44.64,36.230399999999996,28.895600000000012,23.174799999999998,17.855999999999987,14.011199999999997,10.9384,10.064,7.945600000000003
SXGA,242.48399999999998,206.33759999999992,177.54879999999997,149.47679999999997,126.18719999999995,107.09280000000003,91.29119999999995,78.21840000000003,65.52479999999998,56.04480000000001,48.30720000000003,40.78679999999999,34.944,29.916,25.22
WXGA,238.3808,200.86880000000002,171.41039999999995,145.0656000000001,122.85919999999984,104.37,89.1780000000001,75.48319999999998,63.53920000000002,54.1944,46.755600000000015,39.808,33.94560000000003,28.942,24.88
UXGA,580.8527999999998,492.3935999999999,421.5140000000001,359.84480000000013,304.29519999999997,254.77120000000005,219.56960000000004,184.334,155.42999999999998,134.01080000000002,113.49839999999995,96.96120000000003,83.03320000000004,70.7,60.312000000000005
SDTV,374.89760000000035,334.3955999999999,292.6992000000003,255.0,224.7168,197.70919999999975,173.06919999999994,151.45279999999988,134.80400000000006,118.0944,103.95840000000005,90.78160000000001,80.83800000000006,71.31240000000005,62.02479999999999
HDreadyTV,618.5120000000001,549.7128000000004,485.4252000000004,420.9695999999999,370.9584,327.2127999999999,286.38719999999984,253.70840000000004,221.57279999999997,197.17600000000002,172.65399999999988,152.75520000000012,134.26800000000011,119.6047999999999,105.58080000000007
HDreadyTV,672.412,588.82,516.9240000000004,455.5376000000001,404.5727999999999,354.42480000000006,313.99680000000006,275.77,243.7424,213.59639999999996,185.87800000000018,165.39600000000002,144.42000000000002,129.6383999999999,113.58759999999998
HDreadyTV,1203.708,1065.852,932.5024000000001,828.63,726.5808000000001,640.5336,568.5191999999997,498.564,434.08159999999987,380.1600000000002,335.7016,296.76240000000007,261.1044,226.596,203.0504000000002
FullHDTV,1661.984,1461.768,1296.0704000000012,1135.3552000000007,996.3888,889.4088000000003,776.0000000000002,688.1908000000002,600.0383999999997,533.8667999999997,465.6272000000002,409.18,362.8771999999999,321.43440000000015,281.456
FullHDTV,2159.46,1926.486,1735.0319999999995,1569.8815999999995,1408.742400000002,1261.364,1156.2587999999994,1039.7015999999994,921.9255999999997,839.6639999999991,745.5,675.27,612.8639999999996,549.8444,489.44160000000005
FullHDTV,2452.128,2210.4575999999997,1996.1888,1798.3056000000001,1615.0,1461.5608,1313.7123999999992,1180.8272,1058.728,950.5656000000001,856.9384000000003,773.9276000000003,697.3919999999997,628.0031999999995,558.7212000000001
