,1.85,1.8,1.75,1.7000000000000002,1.6500000000000001,1.6
1.55,-549830083.9333702,-646031998.5263743,-725751431.6721191,-821574538.6115618,-654926421.506107,-632517115.1872398
1.5,-1041926546.4235352,-1083600609.3895047,-983299502.7245165,-1184000959.6858823,-1034754403.2892084,-1505645839.3786557
1.45,-1021942136.6497862,-1113327595.35615,-1018201678.7970628,-1192653591.1625297,-1360826428.264062,-1467488140.6634161
1.4,-855835079.738268,-986786059.0314332,-845345352.9212818,-1020357072.9755646,-1185605853.1269362,-1292623158.5856273
1.35,-662132208.3454616,-800854897.3818815,-650699609.9364346,-846998786.3404894,-1011975130.9208043,-1114661336.4280012
1.3,-754997459.1044717,-915779479.480377,-771185498.9773686,-973045982.3238744,-828452001.820844,-1078400137.488946
1.25,-638401679.7931943,-804745007.1114769,-665712333.5508808,-956467932.3997002,-817435258.8391005,-900438315.3313683
1.2,-513345741.166564,-685250375.4272958,-551779008.8091072,-767383496.3572975,-633912129.7391253,-722476493.1738167
1.15,-419420439.36131066,-645086918.1950233,-517176858.51929617,-800830940.95086,-783687855.9261079,-937845478.679071
1.1,-213652082.49163082,-444879868.2677752,-322531115.5344676,-611746504.9084544,-600164726.826115,-759883656.521487
1.05,-472227238.7824317,-355439792.9915364,-238652347.20064273,-533429043.5170526,-416641597.72613543,-581921834.3639462
1.0,-919408817.5781604,-808182678.7296832,-696956539.8812301,-771535928.3112363,-660309789.4627525,-901651184.7688365
