,1.85,1.84,1.83,1.82,1.81,1.8
1.55,-536317581.7883795,-501941551.06263953,-749819040.7127537,-718847827.4025416,-684471796.6768012,-651647347.7381907
1.5,-1082718130.6622,-1052234189.5768473,-1183421538.0654094,-1154209669.967454,-1120942543.4586575,-1087675416.949832
1.45,-1066578337.415939,-1034420115.1241277,-1249506149.0774157,-1220038339.3616252,-1190570529.645834,-1158986712.594786
1.4,-897418440.0252037,-869415300.1158894,-1105633847.5349615,-1080228347.3542123,-1052670709.5579541,-1024219031.2116433
1.35,-707336834.4494439,-677396420.59153,-921418420.7515212,-891478006.8935926,-861537593.0356872,-831597179.1777781
1.3,-787210471.0116512,-758378961.3706963,-1032189601.091239,-1003358091.4502962,-974526581.8093214,-945695072.1683872
1.25,-666869100.7244123,-639146495.3004208,-914066039.2379118,-886343433.8139158,-858620828.3899002,-830898222.9659178
1.2,-533805962.4625417,-507192261.2555069,-783220709.4099774,-758876886.4799684,-732263185.2729613,-706683871.9240043
1.15,-464495792.80409384,-438990995.81403,-739058513.9356855,-715823595.2226616,-690318798.2326127,-665848389.1005921
1.1,-264031475.21532908,-239635582.44220847,-540812004.7807934,-518685990.2847646,-494290097.51164377,-470928592.59660244
1.05,-474648064.90819335,-451361076.3520799,-428074087.795909,-407056977.5168079,-383769988.96063787,-361517388.2625769
1.0,-980485450.2087665,-958307365.8695486,-936129281.5303582,-916221075.4682596,-894042991.1290362,-871864906.7898363
