,1.85,1.8,1.75,1.7000000000000002,1.6500000000000001,1.6
1.55,-149479501.53943932,-177989965.57491177,-5856263.452982869,-419306169.3943126,-247172467.27238405,-75038765.1504566
1.5,-272302274.98618394,-306365439.09010506,-141543816.12550956,-819199596.9280142,-663708688.2788234,-966017302.4273796
1.45,-258580880.13075262,-679628833.0155847,-583769710.2430656,-835373060.573238,-1009091782.0812317,-906908071.4529942
1.4,-61230760.57336663,-544900809.7639202,-389425207.8473394,-649030158.4754627,-825852679.822405,-729221669.2626165
1.35,144219141.95925653,-345003607.2997457,-195080705.451615,-460238356.14818764,-642613577.5635792,-551535267.0722394
1.3,62372398.026705235,-476046516.79549587,-331676315.0158136,-603744677.0844343,-459374475.30475235,-495656986.4133463
1.25,182458389.0207994,-361513225.8698505,-222695724.15861827,-595485086.775761,-456788085.9342016,-317970584.2229685
1.2,307802599.7824258,-241721715.17667356,-108456913.53389032,-406693284.44848466,-273548983.6753744,-140284182.0325913
1.15,443343740.1974091,-190208221.3607331,-62496119.78639886,-432690091.6817983,-413903473.2084953,-337846077.7671545
1.1,648793642.7300328,9688981.103440907,131848382.60932578,-243898289.35452276,-230664370.94966906,-160159675.57677704
1.05,-15946000.97085017,100660700.46658525,217267401.90402073,-164031970.1282775,-47425268.6908417,17526726.613600537
1.0,41835563.09024638,152889564.45923197,263943565.828218,-391097330.13549894,-280043328.7665134,-168989327.3975273
