,1.85,1.8,1.75,1.7000000000000002,1.6500000000000001,1.6
1.55,-174510539.14065915,-206529509.16274875,-48483676.18172322,-433784244.9424118,-263463204.352442,-102264807.04640654
1.5,-301694971.2616361,-341121119.99718356,-184768179.68761647,-837445807.9464761,-681824741.402744,-974780912.6487093
1.45,-276179610.40288526,-695672106.9455702,-602163197.5851667,-848618012.3280863,-1016437852.0739328,-920075598.66744
1.4,-88961872.20128007,-563294297.1060213,-407818695.1894405,-668033291.9540226,-840361859.5910164,-743128695.3596572
1.35,116488030.33134302,-363397094.6418468,-223097104.99117202,-481728773.89367485,-657122757.3321897,-572992609.8832561
1.3,34951442.14145514,-496999662.721753,-352629460.9420707,-626530820.589117,-482160618.8094351,-519637960.7694847
1.25,153265447.13308477,-380340877.483956,-241523375.77272347,-611832187.8012682,-482211546.41547614,-344589643.3428455
1.2,280988477.7369234,-259060092.25318578,-141712283.6383901,-431941123.88920355,-299583835.93454313,-168200794.341521
1.15,417096104.0094703,-219996293.8470524,-92284192.27271758,-451543433.0379556,-430594203.9719637,-367746777.90899897
1.1,614247183.9850483,-20099091.382877797,102060310.12300698,-278636219.546433,-261366303.69504777,-190060375.71862203
1.05,-41698076.010636285,70107328.59213036,186714030.0295658,-194733902.8736556,-78127201.43621984,-16963449.088959105
1.0,18650136.748389836,123017860.66109255,231575006.5706314,-412183158.72036237,-301129157.35137635,-191859774.8773212
