,1.85,1.84,1.83,1.82,1.81,1.8
1.15,417096104.0094703,442638524.32433695,-292358104.9105685,-266815684.59570178,-245538714.1619182,-219996293.8470524
1.14,455667590.8256857,480987903.1378143,-251712340.40951946,-230657477.97847477,-205337165.66634542,-180016853.35421702
1.13,496757571.3322103,516075446.7748653,-215332025.7895543,-190233821.4801638,-165135617.17077237,-140037412.86138177
1.1199999999999999,532067222.9719988,556943319.2786516,-174686261.28850576,-149810164.98185247,-124934068.67519897,-100057972.36854719
1.1099999999999999,573157203.4785243,597811191.7824388,-134040496.78745681,-109386508.48354231,-84732520.17962632,-60078531.87571184
1.0999999999999999,614247183.9850492,638679064.2862254,-93394732.2864079,-68962851.98523073,-44530971.68405394,-20099091.382876754
1.0899999999999999,655337164.4915742,679546936.7900127,-52748967.785358906,-28539195.486919805,-4329423.188480798,19880349.109958436
1.0799999999999998,696427144.9980987,720414809.2937996,-12103203.284309391,11884461.011390876,35872125.307092324,59859789.6027936
1.0699999999999998,655776847.5467478,676789344.5605979,-76346924.43775952,-52581368.14479661,-28815811.85183403,-5050255.558870304
1.0599999999999998,-82788056.51716131,-59244608.226935565,-35701159.93671049,-12157711.646486182,11385736.643738847,34929184.93396507
1.0499999999999998,-41698076.01063596,-18376735.723148823,4944604.564338293,28265944.851825114,51587285.13931289,70107328.59213117
