,1.85,1.84,1.83,1.82,1.81
1.15,-429674827.28017056,-404125683.64174646,-732415717.4446183,-706866573.8062588,-681317430.1677574
1.14,-388574030.9922124,-363247053.8202173,-691759254.0895649,-666432276.9174825,-641105299.7455044
1.13,-347473234.7042386,-322368423.9986598,-651102790.7344818,-625997980.0288069,-602220816.4742749
1.1199999999999999,-306372438.41630954,-281489794.1771342,-611773974.5304712,-586891330.2912413,-562008686.0520163
1.1099999999999999,-265271642.12836573,-251412541.10641372,-571117511.1753939,-546457033.4025618,-521796555.6297786
1.0999999999999999,-234972222.59122425,-210533911.28485206,-530461047.8202752,-509864555.62679154,-485426244.3204834
1.0899999999999999,-193871426.3032926,-174270325.13716123,-493646403.57800156,-469430258.73811823,-445214113.89821506
1.0799999999999998,-157385673.6891328,-133391695.31565484,-452989940.2229219,-428995961.84944475,-405001983.47595227
1.0699999999999998,-216260819.68289676,-192489007.7758262,-518848901.1969436,-495077089.28985345,-471305277.3827864
1.0599999999999998,-525291728.72313905,-501742083.2824939,-478192437.8418437,-454642792.40121615,-432645843.9025603
1.0499999999999998,-484190932.43524563,-460863453.4609676,-439088671.42872405,-415761192.45448226,-392433713.4802896
