,1.85,1.8,1.75,1.7000000000000002,1.6500000000000001,1.6
1.55,-565997484.6724381,-662649177.7026199,-738665431.8237107,-831184562.582785,-668967601.1278566,-645323837.646375
1.5,-1050718350.233412,-1092159509.6497145,-1002150875.5348352,-1199556268.8967547,-1052125025.0343817,-1512907180.2822323
1.45,-1029598625.5549034,-1119210972.6539261,-1032395367.8846782,-1206078034.310337,-1367449237.8240707,-1471741175.1530018
1.4,-866959433.3301315,-1000555369.401011,-858308333.3622591,-1032833301.8797138,-1192410790.1357217,-1301723281.544945
1.35,-679937207.6079916,-813817877.8228512,-663662590.3774081,-860706803.1692502,-1022617482.1065191,-1123761459.387315
1.3,-764991090.5710272,-925799480.186574,-782037476.5105183,-983688333.5095896,-839094353.0065488,-1089285530.1133296
1.25,-652061826.1186861,-817539792.8782151,-678507119.3176218,-965238309.0115234,-832160480.7495327,-914916554.5371968
1.2,-530590181.9461609,-696847744.5797218,-571213250.2378932,-781968095.2459716,-652338434.4096127,-738231332.5662369
1.15,-434710374.0353765,-659373846.4288244,-532748456.16597867,-813061609.8036844,-794543599.8398712,-949931876.9957159
1.1,-239829576.95445195,-464357271.03010845,-342008518.2967991,-630972296.0748804,-616915384.0173007,-775781824.5545591
1.05,-487718491.8636045,-372442061.7786099,-264634187.75871924,-553706758.6294729,-436919312.8385494,-606841943.2246847
1.0,-931696149.5263362,-826491286.3408682,-714277630.9599669,-785880281.5660956,-674654142.7176071,-914601686.1037596
