,1.85,1.84,1.83,1.82,1.81
1.55,4315413288.126152,4348897217.165961,4183274490.526089,3576019102.77346,3747820014.1053114
1.5,3126936520.969799,3161936729.0232162,3113042634.572153,2662567055.260479,2332821757.539967
1.45,3342771137.299211,3376604671.7508473,3360780365.20031,3202878319.3500876,2830615437.596342
1.4,2988138654.49085,3020491851.4108605,2698182486.8468614,3013014874.808639,3046395163.9716744
1.35,2741143150.7770724,2772340876.3785114,2677292959.1288095,1980120832.8422039,2012308968.8208454
1.3,2954905344.712861,2984947598.995728,2895456991.8729315,1549285180.68589,1555825212.1649678
1.25,3168667538.6486506,3197554321.612945,3113621024.6170506,1766257060.2456152,1775135464.3572118
1.2,2354631248.959691,2382631415.4024262,2632433117.9253387,2661044794.3507953,2659648147.9468393
1.15,2570465865.289104,2597299358.1300573,2820588827.840043,2848008351.0811057,2875427874.3221717
1.1,2613608309.0073566,2639275128.246528,2858808189.6453905,1713487349.7231352,1194747917.7174544
1.05,1599404106.5501385,1623485229.4291272,1647566352.308116,1671647475.1871035,1695728598.066094
