,1.85,1.8,1.75,1.7000000000000002,1.6500000000000001,1.6
1.55,1908216164.1642454,1102629704.8049667,1001294311.2049879,645580872.6209824,814565900.8623979,922455871.4529865
1.5,409180296.7558547,327830694.960904,470877118.4147667,258715096.49753976,394427610.3386957,112629200.55417778
1.45,617513303.1577519,193060735.00967795,77334052.63884646,179040407.18618873,-190580001.0710179,-263196963.43922287
1.4,728399474.4804466,110066709.96148455,488173928.24934155,356684419.85711455,-18215405.647267576,-59976267.44262931
1.35,1237162373.560293,533302447.52158505,685611200.0654103,334690244.93844515,169626639.96601158,124466537.49986161
1.3,1058138345.7762086,333060476.82391375,479728164.45870894,208361050.6098531,352231718.71555036,408007375.9827078
1.25,923596632.9573643,240522997.7788846,386901340.46537125,308404605.75568664,446741786.6265494,585078967.4974114
1.2,1308526654.6306896,480435267.22135574,623401411.3552148,496543171.7400601,629346865.376088,762150559.0121162
1.15,1327628985.073142,585083122.9210721,714827615.8287753,273086859.47337097,298100037.5424486,446856733.60574526
1.1,1542385051.334324,788161459.6461717,912264887.6448437,470430271.7133756,489639231.77539384,623928325.1204491
1.05,855435086.7533337,979216585.768224,1102998084.7831132,559289847.8601019,681178426.0083416,800999916.6351529
1.0,157149110.06255794,263815067.6427937,379091820.73185074,489413918.84535825,595861134.9882641,411162543.0543143
