,1.85,1.8,1.75,1.7000000000000002,1.6500000000000001,1.6
1.55,1626140722.7440534,870731149.6283607,787303603.5947634,427500928.52788687,590685174.0433671,689921692.4411315
1.5,212061248.0350144,166480600.02505505,285670432.1775596,63093068.14505598,196172676.37865523,-61951787.17386946
1.45,399262436.96695447,2150549.8933230042,-115632639.82291242,-13516452.61428051,-336245916.6308607,-411695039.46981424
1.4,532171237.4780451,-87645342.39627947,268381677.42487913,160120987.2218156,-169101945.5585732,-214944258.67481366
1.35,1004113328.8218604,316029965.5143535,463932329.4944876,144562898.22671685,-12185377.722912148,-31777997.55694583
1.3,845552008.6980135,123728398.99362046,265989698.0647242,22534730.226410303,166405398.3321076,219464709.28705436
1.25,701037321.9069666,42599287.580058426,184094021.51831296,117207576.89631276,254137859.122173,387286790.32051754
1.2,1094090025.7887309,266344906.42186737,404220049.29950595,300770561.2263685,432167356.2173942,559782800.1809042
1.15,1106727424.9864757,377874071.51988894,498981161.42008626,97363781.80853538,122366193.8621762,264008996.38550287
1.1,1319014617.6527627,578923011.119306,694389036.1104726,284831699.66895354,308967640.90532863,437299236.8726914
1.05,650309097.9196215,771894974.465529,884677369.0018771,374726854.3833058,496615432.5315459,608344204.560375
1.0,2038443.3154559918,114846133.09462664,223985502.93639976,310883376.0310156,415298360.1311778,253215047.21787688
