,1.85,1.84,1.83,1.82,1.81
1.55,-3045587253.104771,-3009444406.195581,-3403458996.817096,-3288045001.455835,-3299063622.3917274
1.5,-2733089454.319019,-2696619225.3637686,-3024805720.3220677,-2994345151.5554857,-2851005443.092331
1.45,-2535137609.513201,-2501828173.5887074,-3041211863.376908,-2860635787.7692413,-2981503838.4083853
1.4,-2843056732.85191,-2808316608.051764,-2850560678.310855,-3103411404.17474,-3071397751.1095333
1.35,-2613523765.422369,-2580024359.3650837,-2765620694.8619075,-2734750386.549031,-2703880078.236152
1.3,-2727417889.8432326,-2695159202.5288105,-2823029195.011321,-2475034350.344788,-2668598632.4145064
1.25,-2497884922.4136877,-2468499612.7220163,-2613797105.3351545,-2266945605.42095,-2461653232.242997
1.2,-2276274281.1259713,-2247098097.961772,-2218540881.689002,-2191100607.6331115,-2349684467.547205
1.15,-2176047357.7037234,-2148086848.8380322,-2328653220.89561,-2302356291.592048,-2276059362.2884846
1.1,-2370310568.045903,-2343014755.7029324,-2255847826.1670055,-1670001888.1689806,-2073934956.9317462
1.05,-1981368493.3812606,-1956975869.0606067,-1932583244.7399523,-1908190620.4192977,-1883797996.0986433
