,1.85,1.8,1.75,1.7000000000000002,1.6500000000000001,1.6
1.55,-2544421127.2244515,-2362551418.822028,-2010741815.7885032,-2257932079.944912,-2122056656.8226647,-2159696322.5680246
1.5,-2559043804.4193563,-2325371863.4652123,-2238694529.151666,-2292426234.7778993,-2104850924.3541155,-2909011440.3263397
1.45,-2487720554.166117,-2507595750.098887,-2342278278.3589287,-2224808912.485925,-2317069662.5528436,-2753816978.4371486
1.4,-2445921354.2736955,-2310938706.08285,-2187654202.9580793,-2053499352.7339003,-2308038120.005606,-2627080009.0563912
1.35,-2375970256.0571074,-2142706417.5940237,-1991007641.9903407,-2052057294.038393,-2141062428.5936031,-2450391800.4700027
1.3,-2393915107.6925015,-2198912910.240117,-2052832607.8069377,-2102336200.7924612,-1958495926.1025088,-2570880531.970707
1.25,-2295299220.631581,-1976985490.6586905,-1839658608.2843194,-2018406703.9921727,-1879701670.6081233,-2380130388.850387
1.2,-2143216752.0646577,-1864225916.4404726,-1737771892.8011909,-1829767858.5898647,-1696611026.5411768,-2189380245.7300677
1.15,-2097654067.0719547,-1966665255.2777557,-1837440372.3560977,-1761502338.5317874,-1855788913.1086795,-2314878998.4923296
1.1,-1875002575.4927883,-1764400221.1395092,-1640793811.3883595,-1575519708.0220373,-1683378916.1663198,-2124660459.2267108
1.05,-1702866491.1059248,-1587511909.9114535,-1472157328.7169821,-1620684371.823642,-1510968919.2239573,-1939895757.281888
1.0,-2064369196.2098079,-1947376904.7375119,-1830384613.265215,-1774327125.7503285,-1669836218.5125341,-2362841054.9173107
