,1.85,1.84,1.83,1.82,1.81,1.8
1.55,-2506607154.103362,-2470915454.3290057,-2319073868.3667088,-2284264351.9727154,-2246219576.027165,-2208174800.081614
1.5,-2903735254.449319,-2871099225.231063,-2637947187.312305,-2829581382.08263,-2794909303.0605555,-2760237224.0384817
1.45,-2722483566.1934075,-2688063716.7427483,-2596091578.6061296,-2567348282.6653023,-2538604986.724475,-2615990362.435372
1.4,-2893208138.441662,-2863222791.6049485,-2513001338.51381,-2487989362.704082,-2531958238.425854,-2504206090.6209154
1.35,-2927748903.653139,-2895702836.923214,-2379785793.8297668,-2350518256.25432,-2321250718.6788726,-2291983181.103428
1.3,-2685558394.2069497,-2654699218.8373933,-2249982543.711143,-2219933408.5586796,-2189884273.4062133,-2159835138.2537503
1.25,-2477925727.464578,-2448940598.267041,-2178934548.118704,-2148253277.1948733,-2117572006.271042,-2086890735.3472104
1.2,-2337144532.803866,-2309318808.774229,-2016246022.878167,-1988948842.4923265,-1959494822.4054492,-1930040802.3185697
1.15,-2286976715.2892585,-2258655865.8567357,-2017640107.2138357,-1992451596.962626,-1964842549.2530947,-1937233501.5435646
1.1,-2063298504.2878885,-2036208996.1350403,-1804187002.3008318,-1780198885.428299,-1753790231.0974443,-1727381576.7665887
1.05,-1601543285.0245125,-1578558090.4870238,-1555572895.9495342,-1534604955.8612182,-1511619761.3237283,-1488634566.7862403
1.0,-2010475903.5161228,-1987361184.1680737,-1964246464.8200247,-1943317046.7976048,-1920202327.4495559,-1897087608.1015074
