,1.85,1.84,1.83,1.82,1.81
1.15,-2535666340.2177677,-2509923739.454081,-2175483881.62338,-2149360173.0995064,-2123236464.5756319
1.14,-2494254330.2935743,-2468735578.232179,-2133913110.6679978,-2108016564.8269398,-2082120018.9858816
1.13,-2452842320.36938,-2427547417.010277,-2092342339.712615,-2066672956.554374,-2040693188.0090504
1.1199999999999999,-2411430310.445186,-2386359255.788377,-2050461183.3701508,-2025018962.8947263,-1999576742.4193003
1.1099999999999999,-2370018300.520992,-2357805716.998611,-2008890412.41477,-1983675354.6221614,-1958460296.829552
1.0999999999999999,-2341240913.0289326,-2316617555.7767105,-1967319641.459387,-1945298888.4396617,-1920310993.329869
1.0899999999999999,-2299828903.1047387,-2277162255.042974,-1928716012.5940723,-1903955280.1670966,-1879194547.74012
1.0799999999999998,-2260149753.6687093,-2235974093.821072,-1887145241.6386905,-1862611671.8945303,-1838078102.1503716
1.0699999999999998,-2027042770.7819664,-2003090959.6366212,-2001986665.6256816,-1977680258.5643384,-1953373851.5029953
1.0599999999999998,-2008574383.427355,-1984495139.048827,-1960415894.6703,-1936336650.2917728,-1912138623.5755436
1.0499999999999998,-1966549287.1063392,-1942697205.4106293,-1918726341.3772163,-1894874259.681506,-1871022177.985795
