,1.85,1.8,1.75,1.7000000000000002,1.6500000000000001,1.6
1.55,-2625095315.445817,-2436868456.3737125,-2111080813.2543411,-2333377568.6094127,-2200261640.642935,-2279499327.9277143
1.5,-2634627439.194976,-2420666844.692921,-2319375120.817015,-2375883390.213724,-2189604425.5522184,-2979936555.951347
1.45,-2577166082.8448825,-2580863767.067306,-2407079596.456123,-2311539463.55925,-2397910670.198065,-2834240735.0504503
1.4,-2523946059.9325333,-2382903060.157485,-2277434637.9756875,-2153086302.43115,-2385266484.181928,-2680628150.2387176
1.35,-2451253043.3326406,-2234510809.6680784,-2088732302.7314847,-2141253133.1543243,-2218163639.247034,-2504875337.635504
1.3,-2466099304.9848824,-2281146633.5752935,-2140986599.8092055,-2187489223.904433,-2043648949.2144792,-2636452088.0628133
1.25,-2388099001.9640307,-2053896478.4263842,-1921270303.5561674,-2099670579.684691,-1962238753.4055603,-2458351171.460703
1.2,-2230694766.461489,-1955380616.8439217,-1829306306.871179,-1918049539.8963492,-1786165914.9525797,-2271583245.188412
1.15,-2179385585.87196,-2054863784.7844145,-1928845768.8362315,-1847869283.9375014,-1934320737.7315376,-2383563896.8914723
1.1,-1963114680.2244794,-1858493339.4085777,-1738093796.6309001,-1661886653.427751,-1769022485.5775087,-2201961614.484239
1.05,-1772820950.3261163,-1659288733.5034182,-1552223306.2755947,-1701688674.8908153,-1599455758.263562,-2022590928.3514705
1.0,-2133561452.2792542,-2018769182.7566938,-1905522300.2638078,-1854265938.423542,-1757257567.1581762,-2426540461.9751663
